n,F,H,expected_result,linear_full_result,tree_reduced_enumeration_result,tree_search_result,linear_full_time_ms,tree_reduced_enumeration_time_ms,tree_search_time_ms
3,1,0,true,true,true,true,1.8926000011560973,1.269799999136012,2.1381999977165833
3,111,000,false,false,false,false,0.9675000001152512,0.6815000015194528,1.535900002636481
3,111,000000,false,false,false,false,1.2972000004083384,0.6557000015163794,1.1749000004783738
3,111,0000000000,false,false,false,false,0.5737999999837484,0.5072999992989935,0.8909999996831175
4,1,0,true,true,true,true,13.134900000295602,4.423800000949996,1.4492999980575405
4,111,000,false,false,false,false,9.547699999529868,3.629700000601588,3.2952000001387205
4,111,000000,false,false,false,false,8.862999999109888,3.288700001576217,2.541699999710545
4,111,0000000000,false,false,false,false,7.79559999864432,3.0734000029042363,3.1519000003754627
5,1,0,true,true,true,true,314.8373999974865,62.24909999946249,1.9152000022586435
5,111,000,false,false,false,false,150.215699999535,49.01629999949364,17.412400000466732
5,111,000000,false,false,false,false,100.62769999785814,40.353500000492204,9.581300000718329
5,111,0000000000,false,false,false,false,90.3303999984928,39.13040000043111,7.456600000296021
6,1,0,true,true,true,true,6434.302199999365,1201.1703999996826,2.5076999991142657
6,111,000,true,true,true,true,12723.993999999948,2650.1929000005475,52.78630000248086
6,111,000000,false,false,false,false,3305.6144999973185,762.2157000005245,22.057700000004843
6,111,0000000000,false,false,false,false,3028.0688000020746,757.0553999976255,20.35979999709525
